2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec
,,0.172783115,,,,,0.242816124,0.307547445,0.340063013,,
,,0.168337616,,,,,0.243334661,0.339401437,0.339357275,,
,,0.168196179,,,,,0.242220617,0.33939944,0.339432858,,
,,0.168196179,,,,,0.242173989,0.339553713,0.339762393,,
,,0.174927218,,,,,0.242366426,0.339391731,0.339294385,,
,,0.168570608,,,,,0.242037389,0.33939944,0.339577698,,
,,0.168196179,,,,,0.243962417,0.339349022,0.339365991,,
,,0.169079171,,,,,0.242315844,0.339430327,0.339521538,,
,,0.266612132,,,,,0.242117286,0.340070923,0.358144693,,
,,0.168665863,,,,,0.242244709,0.340894339,0.339039366,,
,,0.168196179,,,,,,0.339509342,0.339369448,,
,,0.165314474,,,,,,0.340018809,0.339383035,,
,,0.168196179,,,,,,0.355231466,0.33937628,,
,,0.16867816,,,,,,0.309662322,0.33939944,,
,,0.168477423,,,,,,0.340192641,0.339899697,,
,,0.168196179,,,,,,0.33886872,0.33939944,,
,,0.168310287,,,,,,0.339349923,0.33939944,,
,,0.168196179,,,,,,0.3389831,0.307779291,,
,,0.168834438,,,,,,0.339368191,0.33949099,,
,,0.168196179,,,,,,0.340112549,0.33939405,,
,,0.168196179,,,,,,0.339762393,0.33939944,,
,,0.167824111,,,,,,0.33939944,0.3392194,,
,,0.16853467,,,,,,0.339372365,0.30767867,,
,,0.167098266,,,,,,0.339226369,0.339423245,,
,,0.169332292,,,,,,0.307578617,0.373396381,,
,,0.171554786,,,,,,0.339356603,0.339402115,,
,,0.169084639,,,,,,0.33939944,0.33939944,,
,,0.168128877,,,,,,0.33939824,0.340017367,,
,,0.167942196,,,,,,0.342947906,0.339128963,,
,,0.168534913,,,,,,0.307416416,0.33939944,,
,,0.168196179,,,,,,0.33939944,0.378031212,,
,,0.168243766,,,,,,0.33939944,0.342869371,,
,,0.167631968,,,,,,0.339502792,0.33939944,,
,,0.168970285,,,,,,0.33939944,0.33939944,,
,,0.167424081,,,,,,0.33941305,0.340128284,,
,,0.168665863,,,,,,0.307581333,0.33934813,,
,,0.168646672,,,,,,0.302067318,0.33939944,,
,,0.168196179,,,,,,,0.391316305,,
,,0.16991807,,,,,,,0.339512083,,
,,0.171132668,,,,,,,0.33939944,,
,,0.169060185,,,,,,,0.339523458,,
,,0.167802709,,,,,,,0.339413756,,
,,0.169395271,,,,,,,0.339592141,,
,,0.16832442,,,,,,,0.339576267,,
