2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep,2023-Oct-Dec,2024-Jan-Mar
0.226119804,0.214585356,0.202909626,0.20784996,0.244341904,0.286236968,0.381607412,0.37141475,0.526823248,0.620447016,0.700958988,0.7785323,0.768610428,0.876436,,0.89380922,
0.20200885,0.228929156,0.203938336,0.213685246,0.245244144,0.287654148,0.373537458,0.390634492,0.525408508,0.60488133,0.698366854,0.764609372,0.83450886,0.84846998,,0.831747862,
0.20200885,0.214200024,0.217238734,0.221299576,0.278034284,0.286420132,0.373492302,0.37527129,0.59491355,0.604114838,0.738073132,0.783579142,0.838518656,0.832813712,,0.806279028,
0.20200885,0.214916742,0.209120342,0.21066702,0.242189988,0.28867793,0.37005712,0.374127374,0.596601686,0.60509697,0.70107106,0.76462096,0.78276102,0.758504976,,0.837597872,
0.208801378,0.21494757,0.219736452,0.202792696,0.242789084,0.285753498,0.37756878,0.374214876,0.599255948,0.605235026,0.700988518,0.773180756,0.776723866,0.834390164,,0.889718528,
0.20705907,0.214282612,0.214428298,0.217664224,0.242701706,0.285753778,0.37736174,0.37135201,0.59966306,0.605232912,0.700430536,0.778610956,0.784635104,0.810188968,,0.79263649,
0.20775842,0.223691446,0.21589349,0.20348927,0.242259552,0.285367662,0.381473946,0.371496222,0.587081918,0.60586131,0.700834878,0.835887782,0.80695498,0.75800688,,0.948668158,
0.240724756,0.214710992,0.202459018,0.211744172,0.242473142,0.286711274,0.377799272,0.371651622,0.594804926,0.6287203,0.700971254,0.773419214,0.776032794,0.84017638,,0.93887552,
0.207676722,0.214585356,0.202563154,0.213415796,0.242473142,0.28660793,0.376602522,0.371250924,0.596332872,0.611766174,0.700767516,0.77795477,0.83816892,0.77570366,,0.9430768,
0.212302414,0.214342828,0.207592648,0.229075842,0.287468346,0.319084962,0.373471226,0.37710955,0.597641984,0.605294788,0.70124982,0.696255948,0.772246028,0.837615048,,0.95167251,
0.210762944,0.214362346,0.204851798,0.203029176,0.288112584,0.294952396,0.37653608,0.374344598,0.596601686,0.604983368,0.70104635,0.762160842,0.766376596,0.833957734,,0.955405558,
0.207252126,0.379498186,0.214139908,0.213886688,0.294344558,0.266828282,0.376484294,0.390564806,0.59195023,0.605248436,0.705270558,0.778683014,0.768826532,0.816010428,,0.955311494,
0.201910122,0.217852034,0.2140717,0.213415796,0.294151104,0.37378252,0.381473946,0.375281634,0.596601686,0.64513664,0.701701336,0.774595006,0.836768258,0.839532536,,0.945891986,
0.20200885,0.22091113,0.207525334,0.213415796,0.287159782,0.286202164,0.378302458,0.37436652,0.596328774,0.605232912,0.7009779,0.763996236,0.837532046,0.837727004,,0.953021882,
0.204358234,0.214163644,0.203025084,0.202319208,0.289655352,0.28267524,0.38169488,0.390564806,0.598539388,0.63664731,0.700934238,0.773691746,0.768840642,0.837615048,,0.93904205,
0.20200885,0.214708824,0.214302056,0.203322002,0.292178762,0.285253222,0.377683564,0.372236782,0.596547818,0.605029984,0.700971254,0.701504554,0.839158962,0.77481599,,0.952208266,
