2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun
,0.154008174,,0.154575781,0.18018596,0.260864912,0.2991776,0.307870515,0.301431082,,,,,0.473699712
,0.159625924,,0.347734618,0.180976283,0.279315627,0.299036995,0.243221527,0.292712562,,,,,0.510421469
,0.154154815,,0.15804677,0.179490427,0.279931007,0.303662121,0.246610987,0.24194796,,,,,
,0.154321169,,0.158334851,0.339497324,0.200849372,0.287785894,0.213173115,0.301002027,,,,,
,0.159817466,,0.1554566,0.336193478,0.258125007,0.245562345,0.246688483,0.302802605,,,,,
,0.154179206,,0.154845953,0.183374524,0.307391663,0.287599693,0.243268473,0.301125762,,,,,
,0.154743438,,0.171703451,0.339239506,0.306983573,0.300786262,0.246665921,0.301054902,,,,,
,0.234627636,,0.171129871,0.177876252,0.306983573,0.245157787,0.245715885,0.301070563,,,,,
,,,0.154837968,0.180596568,0.306718429,0.299411965,0.242444502,0.23859448,,,,,
,,,0.154390169,0.179787402,0.301322787,0.298734196,0.246849114,0.301160135,,,,,
,,,0.154892494,0.180649782,0.308150404,0.299594667,0.245833806,0.301118776,,,,,
,,,0.159820718,0.179787402,0.300147826,0.299791384,0.245642252,0.301054845,,,,,
,,,0.344998222,0.191763773,0.306983573,0.288071479,0.246767976,0.294216201,,,,,
,,,0.347915942,0.180179041,0.306623384,0.293298554,0.24486884,0.292646652,,,,,
,,,0.154418255,0.185035,0.307727818,0.298677312,0.250260899,0.301085822,,,,,
,,,0.154493017,0.179623851,0.307747929,0.244825343,0.245642252,0.299685706,,,,,
,,,0.343420484,0.180023104,0.306926439,0.323119177,0.246725043,0.301053418,,,,,
,,,0.347436329,0.182327258,0.307373688,0.304133918,0.246757505,0.301126717,,,,,
,,,0.154516899,0.342660157,0.301034973,0.299246431,0.249922302,0.301025664,,,,,
,,,0.154321992,0.193752514,0.30069933,0.298129297,0.248689412,0.301118776,,,,,
,,,0.157018828,0.179409312,0.300686439,0.244565665,0.246665921,0.30108941,,,,,
,,,0.170758894,0.341452539,0.257082256,0.305509911,0.289939691,0.301537795,,,,,
,,,0.347989025,0.300409692,0.339353592,0.297401863,0.246357374,0.29285119,,,,,
,,,0.154111203,0.305031688,0.193089402,0.244902369,0.245834108,0.29970117,,,,,
,,,0.170855789,0.300158882,0.298487488,0.244822934,0.254620718,0.301054902,,,,,
,,,0.154534322,0.340967542,0.201067904,0.287908596,0.245690142,0.242699586,,,,,
,,,0.153753742,0.179787402,0.306926439,0.298457451,0.248812928,0.24516064,,,,,
,,,0.154135985,0.185104944,0.298575315,0.29884473,0.246040639,0.301139397,,,,,
,,,0.161906774,0.296849844,0.336585802,0.287744985,0.245764271,0.24259323,,,,,
,,,0.155839501,0.341572288,0.302274376,0.301020362,0.248915676,0.242030671,,,,,
,,,0.154394937,0.300131594,0.300293233,0.244623419,0.246007774,0.301118776,,,,,
,,,0.155064624,0.300201748,0.194560423,0.298734196,0.245811239,0.242780767,,,,,
,,,0.17079824,0.331955553,0.300834454,0.289543878,0.25004219,0.301118776,,,,,
,,,0.159292829,0.179857569,0.307090456,0.303426902,0.247951915,0.301005609,,,,,
,,,0.154179206,0.305031688,0.339043769,0.300465113,0.246324108,0.300896453,,,,,
,,,0.154335415,0.304577901,0.300874697,0.298537535,0.246895837,0.301249832,,,,,
