2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep
,0.15401617,0.154297823,0.155839489,0.154179211,0.189927673,0.236554034,0.28929228,0.295884161,0.337674283,0.400476851,0.426508904,,,
,0.154179211,0.156638572,0.154179211,0.153207684,0.23616981,0.236404872,0.300002102,0.307760791,0.390788039,0.390748401,0.426331393,,,
,0.154274172,0.171109921,0.154024624,0.152216964,0.191962199,0.236348821,0.261282422,0.307686365,0.364434929,0.391061478,0.432373676,,,
,0.154179211,0.154492995,0.154179211,0.156638572,0.236501889,0.236474725,0.31359748,0.242117286,0.368459469,0.409768704,0.432611936,,,
,0.154179211,0.154176283,0.154125187,0.156549872,0.236509334,0.329158594,0.306782447,0.334228005,0.345247546,0.242829266,0.459368456,,,
,0.216816045,0.154921021,0.154252551,0.240382118,0.239118771,0.236348821,0.299694686,0.258993873,0.338014665,0.380518711,0.431252249,,,
,0.15444637,0.157459645,0.155822818,0.319497745,0.242362195,0.237229223,0.297081062,0.251985432,0.390623362,0.242117286,0.432571654,,,
,0.156638572,0.181373846,0.15441815,0.321554878,0.236283314,0.200314155,0.306882309,0.307727716,0.390730361,0.381675439,0.438851743,,,
,0.154161805,0.153787952,0.339952084,0.241299019,0.236843025,0.310988304,0.167518402,0.3071015,0.342408236,0.389829283,0.439345942,,,
,0.153979181,0.163773179,0.154179211,0.321630206,0.203783542,0.236228776,0.344362231,0.282089456,0.390810449,0.385026128,0.431740019,,,
,0.154179211,0.154143019,0.344818532,0.338717444,0.309847338,0.236441012,0.167374121,0.303032952,0.242158774,0.402186786,0.439489329,,,
,0.154136599,0.244131026,0.269081495,0.157501852,0.300181648,0.236314476,0.241229887,0.307486343,0.338641139,0.403127074,0.439489329,,,
,0.157786753,0.253714131,0.34809091,0.337494904,0.29837646,0.199780307,0.317505945,0.4365207,0.364483405,0.414929505,0.432825581,,,
,0.154955485,0.160767315,0.311059653,0.179625983,0.328541211,0.240179752,0.31981894,0.241370017,0.338117172,0.390951933,0.433092626,,,
,0.154332055,0.153905913,0.316151548,0.170840268,0.235868405,0.238653079,0.183063101,0.390810449,0.338014665,0.390937084,0.430667071,,,
,0.154382058,0.171004989,0.310176335,0.154179211,0.301313543,0.235925236,0.250407788,0.381494003,0.377455446,0.391041589,0.438845784,,,
,0.154179211,0.15411123,0.31556766,0.171332572,0.241983916,0.236074504,0.194318715,0.307563541,0.338641139,0.362230237,0.44056101,,,
,0.154179211,0.220569111,0.310865819,0.341259843,0.240642446,0.236403541,0.242028729,0.300361343,0.389545218,0.391152786,0.433777243,,,
,0.161906789,0.154382161,0.31048148,0.160154487,0.240571717,0.244569086,0.175371931,0.307871878,0.355399547,0.390841251,0.439247991,,,
